,round,multi_kill_attack,multi_kill_defend,plant,result
0,Sengoku defending Dorms/Kids,Li9ht gets a 2k,Ramu gets a 3k,Li9ht plants defuser,Li9ht plants defuser
1,Sengoku defending Laundry/Supply,Ramu gets a 2k,Ramu gets a 2k,Merieux plants defuser,Merieux plants defuser
2,Sengoku defending Meeting Hall/Kitchen,JJ gets a 4k,Yura gets a 2k,Merieux plants defuser,Merieux plants defuser
3,Sengoku defending Dorms/Kids,Merieux gets a 2k,A1kyan gets a 4k,Merieux plants defuser,Merieux plants defuser
4,Sengoku defending Laundry/Supply,Ramu gets a 4k,Ramu gets a 3k,ReyCyil plants defuser,ReyCyil plants defuser
5,Sengoku defending Dorms/Kids,Ramu gets a 2k,JJ gets a 2k,JJ plants defuser,JJ plants defuser
6,GUTS Gaming defending Laundry/Supply,Lily gets a 2k,Yura gets a 2k,Li9ht plants defuser,Li9ht plants defuser
7,GUTS Gaming defending Dorms/Kids,A1kyan gets a 2k,febar gets a 2k,ReyCyil plants defuser,ReyCyil plants defuser
8,GUTS Gaming defending Laundry/Supply,A1kyan gets a 3k,Lily gets a 3k,JJ plants defuser,JJ plants defuser
9,GUTS Gaming defending Laundry/Supply,Yura gets a 2k,Yura gets a 2k,Lily plants defuser,Lily plants defuser
10,GUTS Gaming defending Dorms/Kids,Lily gets a 2k,Merieux gets a 2k,No Further Data,No Further Data
11,GUTS Gaming defending Meeting Hall/Kitchen,febar gets a 3k,Yura gets a 3k,No Further Data,No Further Data
12,GUTS Gaming defending Church/Arsenal,Ramu gets a 3k,JJ gets a 2k,No Further Data,No Further Data
13,GUTS Gaming defending Cash/CCTV,Ramu gets a 4k,Li9ht gets a 2k,No Further Data,No Further Data
14,GUTS Gaming defending Master/Gym,Merieux gets a 2k,Yura gets a 2k,No Further Data,No Further Data
15,GUTS Gaming defending Church/Arsenal,Merieux gets a 3k,febar gets a 3k,No Further Data,No Further Data
16,GUTS Gaming defending Cash/CCTV,JJ gets a 2k,Yahoon gets a 2k,No Further Data,No Further Data
17,GUTS Gaming defending Master/Gym,Yahoon gets a 3k,Ramu gets a 2k,No Further Data,No Further Data
18,Sengoku defending Church/Arsenal,ReyCyil gets a 2k,Ramu gets a 2k,No Further Data,No Further Data
19,Sengoku defending Cash/CCTV,Ramu gets a 3k,Ramu gets a 2k,No Further Data,No Further Data
20,Sengoku defending Master/Gym,Li9ht gets a 2k,A1kyan gets a 2k,No Further Data,No Further Data
21,Sengoku defending Church/Arsenal,Ramu gets a 3k,Merieux gets a 3k,No Further Data,No Further Data
22,Sengoku defending Cash/CCTV,JJ gets a 2k,Ramu gets a 2k,No Further Data,No Further Data
23,Sengoku defending Master/Gym,Yura gets a 2k,Yura gets a 3k,No Further Data,No Further Data
24,Sengoku defending Church/Arsenal,Lily gets a 2k,Lily gets a 2k,No Further Data,No Further Data
25,GUTS Gaming defending Master/Gym,No Further Data,Merieux gets a 2k,No Further Data,No Further Data
26,Sengoku defending Cash/CCTV,No Further Data,ReyCyil gets a 4k,No Further Data,No Further Data
27,GUTS Gaming defending Bar/Gaming,No Further Data,Merieux gets a 2k,No Further Data,No Further Data
28,GUTS Gaming defending Kitchen/Dining,No Further Data,Lily gets a 2k,No Further Data,No Further Data
29,GUTS Gaming defending Master/Office,No Further Data,Lily gets a 3k,No Further Data,No Further Data
30,GUTS Gaming defending Bar/Gaming,No Further Data,ReyCyil gets a 3k,No Further Data,No Further Data
31,GUTS Gaming defending Kitchen/Dining,No Further Data,JJ gets a 3k,No Further Data,No Further Data
32,GUTS Gaming defending Master/Office,No Further Data,ReyCyil gets a 2k,No Further Data,No Further Data
33,Sengoku defending Master/Office,No Further Data,A1kyan gets a 2k,No Further Data,No Further Data
34,Sengoku defending Bar/Gaming,No Further Data,ReyCyil gets a 3k,No Further Data,No Further Data
35,Sengoku defending Kitchen/Dining,No Further Data,Yahoon gets a 2k,No Further Data,No Further Data
36,Sengoku defending Master/Office,No Further Data,A1kyan gets a 2k,No Further Data,No Further Data
37,Sengoku defending Bar/Gaming,No Further Data,No Further Data,No Further Data,No Further Data
38,Sengoku defending Kitchen/Dining,No Further Data,No Further Data,No Further Data,No Further Data
